@relation testing_other_easy_maps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}

@data
14,3,0,0,1,1,13,15,West,West,West,West,West
13,3,0,0,1,1,13,15,North,North,North,North,North
12,3,1,0,1,1,13,15,North,North,North,North,North
12,4,1,1,0,0,13,15,West,West,West,West,West
12,5,0,1,0,1,10,15,West,West,West,West,West
11,5,0,0,1,1,10,15,West,West,West,West,West
10,5,0,0,1,1,10,15,North,North,North,North,North
9,5,1,0,1,0,10,15,North,North,North,North,North
9,6,1,1,0,0,10,15,North,North,North,North,North
9,7,1,1,0,0,10,15,East,East,East,East,East
9,8,0,1,1,1,10,15,East,East,East,East,East
10,8,0,0,1,1,10,15,East,East,East,East,East
11,8,0,0,1,1,13,15,North,North,North,North,North
12,8,1,0,1,1,13,15,North,North,North,North,North
12,9,1,1,0,0,13,15,North,North,North,North,North
12,10,1,1,0,0,13,15,West,West,West,West,West
12,11,0,1,0,1,10,15,West,West,West,West,West
11,11,0,0,1,1,10,15,West,West,West,West,West
10,11,0,0,1,1,10,15,West,West,West,West,West
9,11,0,0,1,1,10,15,North,North,North,North,North
8,11,1,0,1,1,10,15,North,North,North,North,North
8,12,1,1,0,0,10,15,North,North,North,North,North
8,13,1,1,1,0,10,15,North,North,North,North,North
8,14,1,1,0,0,10,15,North,North,North,North,North
8,15,1,1,0,1,10,15,North,North,North,North,North
8,16,1,1,0,0,10,15,East,East,East,East,East
8,17,0,1,1,0,10,15,East,East,East,East,East
9,17,0,0,1,1,10,15,East,East,East,East,East
10,17,0,0,1,1,10,15,East,East,East,East,East
11,17,0,0,1,1,13,15,East,East,East,East,East
12,17,1,0,1,1,13,15,South,South,South,South,South
13,17,0,1,1,1,13,15,South,South,South,South,South
13,16,1,1,1,0,14,15,East,Stop,East,East,East
13,15,1,0,1,1,17,15,East,Stop,Stop,East,East
14,15,1,0,1,1,17,15,East,Stop,Stop,East,East
15,15,0,0,1,1,17,15,East,Stop,Stop,East,East
16,15,0,0,1,1,10,15,West,Stop,Stop,Stop,West
17,15,0,0,0,1,10,15,West,Stop,Stop,Stop,West
16,15,0,0,1,1,10,15,West,Stop,Stop,Stop,West
15,15,0,0,1,1,10,15,West,Stop,Stop,Stop,West
14,15,1,0,1,1,10,15,West,Stop,Stop,Stop,West
13,15,1,0,1,1,10,15,West,Stop,Stop,Stop,West
12,15,0,0,1,1,10,15,West,Stop,Stop,Stop,West
1,18,0,1,1,0,5,9,South,South,South,South,South
1,17,1,1,0,0,5,9,South,South,South,South,South
1,16,1,1,1,0,5,9,South,South,South,South,South
1,15,1,1,1,0,5,9,South,South,South,South,South
1,14,1,1,1,0,5,9,South,South,South,South,South
1,13,1,1,0,0,5,9,South,South,South,South,South
1,12,1,1,1,0,5,9,South,South,South,South,South
1,11,1,1,0,0,5,9,South,South,South,South,South
1,10,1,1,0,0,5,9,South,South,South,South,South
1,9,1,1,0,0,5,9,South,South,South,South,South
1,8,1,1,0,0,5,9,South,South,South,South,South
1,7,1,1,0,0,5,9,East,East,East,East,East
1,6,1,1,1,0,5,9,East,East,East,East,East
2,6,0,1,1,1,5,9,East,East,East,East,East
3,6,1,1,1,1,5,9,East,East,East,East,East
4,6,1,1,1,1,5,9,North,East,East,East,North
5,6,1,1,1,1,5,9,North,East,East,East,North
5,7,1,1,1,1,5,9,North,East,East,East,North
5,8,1,1,1,1,11,3,Stop,East,East,East,East
5,9,1,1,1,1,11,3,Stop,South,South,South,South
6,9,1,1,0,1,11,3,Stop,South,South,South,South
6,8,1,1,0,1,11,3,Stop,South,South,South,South
6,7,1,1,0,1,11,3,Stop,East,East,East,East
6,6,1,0,1,1,11,3,Stop,East,East,East,East
7,6,0,0,1,1,11,3,Stop,East,East,East,East
8,6,1,1,1,1,11,3,Stop,East,East,East,East
9,6,1,1,1,1,11,3,Stop,East,East,East,East
10,6,1,1,1,1,11,3,Stop,South,South,South,South
11,6,1,1,0,1,11,3,Stop,South,South,South,South
11,5,1,1,0,1,11,3,Stop,South,South,South,South
11,4,1,1,0,1,17,6,Stop,Stop,West,West,West
11,3,1,0,0,1,17,6,Stop,Stop,North,North,North
10,3,1,0,1,1,17,6,Stop,Stop,East,East,East
10,4,1,1,1,1,17,6,Stop,Stop,North,North,North
11,4,1,1,0,1,17,6,Stop,Stop,North,North,North
11,5,1,1,0,1,17,6,Stop,Stop,North,North,North
